"iata_code","lat","long"
"GKA",-6.08169,145.392
"MAG",-5.20708,145.789
"HGU",-5.82679,144.29601
"LAE",-6.5698,146.72598
"POM",-9.44338,147.22
"WWK",-3.58383,143.66901
"UAK",61.1605,-45.426
"GOH",64.1909,-51.6781
"SFJ",67.01222,-50.7116
"THU",76.5312,-68.7032
"AEY",65.66,-18.0727
"EGS",65.2833,-14.4014
"HFN",64.2956,-15.2272
"HZK",65.9523,-17.426
"IFJ",66.0581,-23.1353
"KEF",63.985,-22.6056
"PFJ",65.5558,-23.965
"RKV",64.13,-21.9406
"SIJ",66.1333,-18.9167
"VEY",63.4243,-20.2789
"YAM",46.485,-84.5094
"YAY",51.3919,-56.0831
"YAZ",49.07983,-125.77558
"YBB",68.5344,-89.8081
"YBC",49.1325,-68.2044
"YBG",48.3306,-70.9964
"YBK",64.2989,-96.0778
"YBL",49.9508,-125.271
"YBR",49.91,-99.9519
"YCB",69.1081,-105.138
"YCD",49.05497,-123.86986
"YCG",49.2964,-117.632
"YCH",47.0078,-65.4492
"YCL",47.9908,-66.3303
"YCO",67.8167,-115.144
"YCT",52.075,-111.445
"YCW",49.1528,-121.939
"YCY",70.4861,-68.5167
"YZS",64.1933,-83.3594
"YDA",64.0431,-139.12801
"YDB",61.3711,-139.041
"YDF",49.2108,-57.3914
"YDL",58.4222,-130.032
"YDN",51.1008,-100.052
"YDQ",55.7423,-120.183
"YEG",53.3097,-113.58
"YEK",61.0942,-94.0708
"YEN",49.2103,-102.966
"YET",53.5789,-116.465
"YEU",79.9947,-85.8142
"YEV",68.3042,-133.483
"YFB",63.7564,-68.5558
"YFC",45.8689,-66.5372
"YFE",48.7461,-69.0972
"YFO",54.6781,-101.682
"YFR",61.1808,-113.69
"YFS",61.7602,-121.237
"YGK",44.2253,-76.5969
"YGL",53.6253,-77.7042
"YGP",48.7753,-64.4786
"YGQ",49.7783,-86.9394
"YGR",47.4247,-61.7781
"YHB",52.8167,-102.311
"YHD",49.8317,-92.7442
"YHI",70.7628,-117.806
"YHK",68.6356,-95.8497
"YHM",43.1736,-79.935
"YHU",45.5175,-73.4169
"YHY",60.8397,-115.783
"YHZ",44.8808,-63.5086
"YIB",48.7739,-91.6386
"YIO",72.6833,-77.9667
"YJN",45.2944,-73.2811
"YJT",48.5442,-58.55
"YKA",50.7022,-120.444
"YKF",43.4608,-80.3786
"YKL",54.8053,-66.8053
"YKY",51.5175,-109.181
"YKZ",43.8622,-79.37
"YLD",47.82,-83.3467
"YLJ",54.1253,-108.523
"YLL",53.3092,-110.073
"YLT",82.5178,-62.2806
"YLW",49.9561,-119.378
"YMA",63.6164,-135.868
"YMJ",50.3303,-105.559
"YMM",56.6533,-111.222
"YMO",51.2911,-80.6078
"YMW",46.2728,-75.9906
"YMX",45.6795,-74.0387
"YNA",50.19,-61.7892
"YND",45.5217,-75.5636
"YNM",49.7617,-77.8028
"YOC",67.5706,-139.839
"YOD",54.405,-110.279
"YOJ",58.6214,-117.165
"YOW",45.3225,-75.6692
"YPA",53.2142,-105.673
"YPE",56.2269,-117.447
"YPG",49.9031,-98.27382
"YPL",51.4464,-90.2142
"YPN",49.8364,-64.2886
"YPQ",44.23,-78.3633
"YPR",54.2861,-130.44501
"YPY",58.7672,-111.117
"YQA",44.9747,-79.3033
"YQB",46.7911,-71.3933
"YQF",52.1822,-113.894
"YQG",42.2756,-82.9556
"YQH",60.1164,-128.82201
"YQK",49.7883,-94.3631
"YQL",49.6303,-112.8
"YQM",46.1122,-64.6786
"YQQ",49.7108,-124.887
"YQR",50.4319,-104.666
"YQT",48.3719,-89.3239
"YQU",55.1797,-118.885
"YQV",51.2647,-102.462
"YQW",52.7692,-108.244
"YQX",48.9369,-54.5681
"YQY",46.1614,-60.0478
"YQZ",53.0261,-122.51
"YRB",74.7169,-94.9694
"YRI",47.7644,-69.5847
"YRJ",48.52,-72.2656
"YRM",52.4297,-114.904
"YRT",62.8114,-92.1158
"YSB",46.625,-80.7989
"YSC",45.4386,-71.6914
"YSJ",45.3161,-65.8903
"YSM",60.0203,-111.962
"YSR",72.9822,-84.6136
"YSU",46.4406,-63.8336
"YSY",71.9939,-125.243
"YTE",64.23,-76.5267
"YTH",55.8011,-97.8642
"YTR",44.1189,-77.5281
"YTS",48.5697,-81.3767
"YTZ",43.6275,-79.3962
"YUB",69.4333,-133.026
"YUL",45.4706,-73.7408
"YUT",66.5214,-86.2247
"YUX",68.7761,-81.2425
"YUY",48.2061,-78.8356
"YVC",55.1514,-105.262
"YVG",53.3558,-110.824
"YVM",67.5458,-64.0314
"YVO",48.0533,-77.7828
"YVP",58.0961,-68.4269
"YVQ",65.2816,-126.798
"YVR",49.1939,-123.184
"YVT",55.8419,-108.418
"YVV",44.7458,-81.1072
"YWA",45.9522,-77.3192
"YWG",49.91,-97.2399
"YWK",52.9219,-66.8644
"YWL",52.1831,-122.054
"YWY",63.2094,-123.437
"YXC",49.6108,-115.782
"YXD",53.5725,-113.521
"YXE",52.1708,-106.7
"YXH",50.0189,-110.721
"YXJ",56.2381,-120.74
"YXL",50.1139,-91.9053
"YXP",66.145,-65.7136
"YXR",47.6974,-79.84735
"YXS",53.8894,-122.679
"YXT",54.4685,-128.57601
"YXU",43.0356,-81.1539
"YXX",49.0253,-122.361
"YXY",60.7096,-135.067
"YYB",46.3636,-79.4228
"YYC",51.1139,-114.02
"YYD",54.8247,-127.183
"YYE",58.8364,-122.597
"YYF",49.4631,-119.602
"YYG",46.29,-63.1211
"YYH",69.5467,-93.5767
"YYJ",48.6469,-123.426
"YYL",56.8639,-101.076
"YYN",50.2919,-107.691
"YYQ",58.7392,-94.065
"YYR",53.3192,-60.4258
"YYT",47.6186,-52.7519
"YYU",49.4139,-82.4675
"YYW",50.2903,-88.9097
"YYY",48.6086,-68.2081
"YYZ",43.6772,-79.6306
"YZD",43.7425,-79.4656
"YZE",45.8853,-82.5678
"YZF",62.4628,-114.44
"YZH",55.2931,-114.777
"YZP",53.2543,-131.814
"YZR",42.9994,-82.3089
"YZT",50.6806,-127.367
"YZU",54.1439,-115.787
"YZV",50.2233,-66.2656
"YZW",60.1728,-132.743
"YZX",44.9844,-64.9169
"ZFA",62.2075,-133.37601
"ZFM",67.4075,-134.86099
"QLD",36.5036,2.81417
"BUJ",35.3325,4.20639
"BJA",36.712,5.06992
"ALG",36.691,3.21541
"DJG",24.2928,9.45244
"VVZ",26.7235,8.62265
"TMR",22.8115,5.45108
"GJL",36.7951,5.87361
"MZW",33.5359,-0.24235
"AAE",36.8222,7.80917
"CZL",36.276,6.62039
"TEE",35.4316,8.12072
"HRM",32.9304,3.31154
"TID",35.3411,1.46315
"TIN",27.7004,-8.1671
"CFK",36.2127,1.33177
"TAF",35.5424,-0.53228
"TLM",35.0167,-1.45
"ORN",35.6239,-0.62118
"BFW",35.1718,-0.59328
"MUW",35.2077,0.14714
"AZR",27.8376,-0.18641
"BSK",34.7933,5.73823
"ELG",30.5713,2.85959
"GHA",32.3841,3.79411
"HME",31.673,6.14044
"INZ",27.251,2.51202
"TGR",33.0678,6.08867
"LOO",33.7644,2.92834
"TMX",29.2371,0.27603
"OGX",31.9172,5.41278
"IAM",28.0515,9.64291
"COO",6.35723,2.38435
"OUA",12.3532,-1.51242
"BOY",11.1601,-4.33097
"ACC",5.60519,-0.16679
"TML",9.55719,-0.86321
"NYI",7.36183,-2.32876
"TKD",4.89606,-1.77476
"ABJ",5.26139,-3.92629
"BYK",7.7388,-5.07367
"DJO",6.79281,-6.47319
"HGO",9.38718,-5.55666
"MJC",7.27207,-7.58736
"SPY",4.74672,-6.66082
"ASK",6.90317,-5.36558
"ABV",9.00679,7.26317
"AKR",7.24674,5.30101
"BNI",6.31698,5.5995
"CBQ",4.97602,8.3472
"ENU",6.47427,7.56196
"IBA",7.36246,3.97833
"ILR",8.44021,4.49392
"JOS",9.63983,8.86905
"KAD",10.696,7.32011
"KAN",12.0476,8.52462
"MIU",11.8553,13.0809
"MDI",7.70388,8.61394
"LOS",6.57737,3.32116
"MXJ",9.65217,6.46226
"PHC",5.01549,6.94959
"SKO",12.9163,5.20719
"YOL",9.25755,12.4304
"ZAR",11.1302,7.68581
"MFQ",13.5025,7.12675
"NIM",13.4815,2.18361
"THZ",14.8757,5.26536
"AJY",16.966,8.00011
"ZND",13.779,8.98376
"MIR",35.7581,10.7547
"TUN",36.851,10.2272
"GAF",34.422,8.8225
"GAE",33.8769,10.1033
"DJE",33.875,10.7755
"EBM",31.7043,9.25462
"SFA",34.718,10.691
"TOE",33.9397,8.11056
"LRL",9.76733,1.09125
"LFW",6.16561,1.25451
"ANR",51.1894,4.46028
"BRU",50.9014,4.48444
"CRL",50.4592,4.45382
"KJK",50.8172,3.20472
"LGG",50.6374,5.44322
"OST",51.1989,2.86222
"OBL",51.2647,4.75333
"AOC",50.98195,12.50639
"IES",51.29361,13.35611
"REB",53.30639,12.75222
"QXH",52.20361,13.15639
"BBH",54.33825,12.71051
"ZMG",52.07361,11.62639
"CBU",51.88944,14.53194
"SXF",52.38,13.5225
"DRS",51.1328,13.7672
"ERF",50.9798,10.9581
"FRA",50.03333,8.57056
"FMO",52.1346,7.68483
"HAM",53.6304,9.98823
"THF",52.473,13.4039
"CGN",50.8659,7.14274
"DUS",51.2895,6.76678
"MUC",48.3538,11.7861
"NUE",49.4987,11.07806
"LEJ",51.42389,12.23639
"SCN",49.2146,7.10951
"STR",48.6899,9.22196
"TXL",52.5597,13.2877
"HAJ",52.4611,9.68508
"BRE",53.0475,8.78667
"QEF",49.96,8.64583
"HHN",49.9487,7.26389
"MHG",49.47306,8.51417
"EIB",50.9916,10.47973
"SGE",50.7077,8.08297
"XFW",53.53528,9.83556
"KEL",54.37944,10.14528
"LBC",53.8054,10.7192
"ESS",51.4023,6.93733
"BFE",51.96472,8.54444
"MGL",51.23028,6.50444
"PAD",51.6141,8.61632
"DTM",51.5183,7.61224
"AGB",48.42528,10.93167
"OBF",48.0814,11.2831
"RBM",48.90083,12.51667
"FDH",47.6713,9.51149
"SZW",53.427,11.7834
"BYU",49.985,11.64
"URD",49.79417,11.13361
"HOQ",50.28861,11.85639
"ZQW",49.2094,7.40056
"ZQL",47.97333,8.52222
"BWE",52.3192,10.5561
"KSF",51.41727,9.38497
"BRV",53.50694,8.57278
"EME",53.39111,7.2275
"WVN",53.50222,8.05222
"BMK",53.59639,6.70917
"NRD",53.70694,7.23
"FLF",54.77333,9.37889
"GWT",54.9132,8.34047
"KDL",58.9908,22.8307
"URE",58.2299,22.5095
"EPU",58.419,24.4728
"TLL",59.4133,24.8328
"TAY",58.3075,26.6904
"ENF",68.3626,23.4243
"KEV",61.85604,24.78669
"HEM",60.2546,25.0428
"HEL",60.3172,24.9633
"HYV",60.6544,24.8811
"KTQ",62.1661,30.0736
"IVL",68.6073,27.4053
"JOE",62.6629,29.6075
"JYV",62.3995,25.6783
"KAU",63.1271,23.0514
"KEM",65.7787,24.5821
"KAJ",64.2855,27.6924
"KHJ",62.4625,22.3931
"KOK",63.7212,23.1431
"KAO",65.9876,29.2394
"KTT",67.701,24.8468
"KUO",63.0071,27.7978
"QLF",61.1442,25.6935
"LPP",61.0446,28.14474
"MHQ",60.1222,19.8982
"MIK",61.6866,27.2018
"OUL",64.9301,25.3546
"POR",61.4617,21.8
"RVN",66.5648,25.8304
"SVL",61.9431,28.9451
"SOT",67.395,26.6191
"TMP",61.4141,23.6044
"TKU",60.5141,22.2628
"UTI",60.8964,26.9384
"VAA",63.0507,21.7622
"VRK",62.1711,27.8686
"YLI",64.05472,24.72528
"BFS",54.6575,-6.21583
"ENK",54.3989,-7.65167
"BHD",54.6181,-5.8725
"LDY",55.0428,-7.16111
"BHX",52.4539,-1.74803
"CVT",52.3697,-1.47972
"GLO",51.8942,-2.16722
"GBA",51.6681,-2.05694
"MAN",53.3537,-2.27495
"NQY",50.4406,-4.99541
"LYE",51.5051,-1.99343
"YEO",51.0094,-2.63882
"HAW",51.8331,-4.96111
"CWL",51.3967,-3.34333
"SWS",51.6053,-4.06783
"BRS",51.3827,-2.71909
"LPL",53.3336,-2.84972
"LTN",51.8747,-0.36833
"PLH",50.4228,-4.10583
"BOH",50.78,-1.8425
"SOU",50.9503,-1.3568
"QLA",51.1872,-1.0335
"ACI",49.7061,-2.21472
"GCI",49.435,-2.60197
"JER",49.2079,-2.19551
"ESH",50.8356,-0.29722
"BQH",51.3308,0.0325
"LGW",51.1481,-0.19028
"LCY",51.5053,0.05528
"FAB",51.2758,-0.77633
"BBS",51.3239,-0.8475
"LHR",51.4706,-0.46194
"SEN",51.5714,0.69556
"LYX",50.9561,0.93917
"MSE",51.3422,1.34611
"CAX",54.9375,-2.80917
"BLK",53.7717,-3.02861
"HUY",53.5744,-0.35083
"BWF",54.12861,-3.2675
"LBA",53.8659,-1.66057
"WRT",53.7451,-2.88306
"CEG",53.1781,-2.97778
"IOM",54.0833,-4.62389
"NCL",55.0375,-1.69167
"MME",54.5092,-1.42941
"EMA",52.8311,-1.32806
"KOI",58.9578,-2.905
"LSI",59.8789,-1.29556
"WIC",58.4589,-3.09306
"ABZ",57.2019,-2.19778
"INV",57.5425,-4.0475
"GLA",55.8719,-4.43306
"EDI",55.95,-3.3725
"ILY",55.6819,-6.25667
"PIK",55.5094,-4.58667
"BEB",57.4811,-7.36278
"SCS",60.4328,-1.29611
"DND",56.4525,-3.02583
"SYY",58.2156,-6.33111
"TRE",56.4992,-6.86917
"ADX",56.3729,-2.86844
"LMO",57.7052,-3.33917
"CBG",52.205,0.175
"NWI",52.6758,1.28278
"STN",51.885,0.235
"EXT",50.7344,-3.41389
"FZO",51.5194,-2.59083
"OXF",51.8369,-1.32
"BEX",51.6164,-1.09583
"LKZ",52.4093,0.561
"MHZ",52.3619,0.48641
"QUY",52.3572,-0.10783
"FFD",51.6822,-1.79003
"BZZ",51.75,-1.58362
"ODH",51.2341,-0.94283
"NHT",51.553,-0.41817
"QCY",53.093,-0.16601
"BEQ",52.3426,0.77294
"SQZ",53.3078,-0.55083
"HRT",54.0489,-1.25275
"WTN",53.1662,-0.52381
"KNF",52.6484,0.55069
"MPN",-51.8228,-58.4472
"AMS",52.3086,4.76389
"MST",50.9117,5.77014
"EIN",51.4501,5.37453
"GRQ",53.1197,6.57944
"GLZ",51.5674,4.93183
"DHR",52.9234,4.78062
"LEY",52.4603,5.52722
"LWR",53.2286,5.76056
"RTM",51.9569,4.43722
"UTC",52.1273,5.27619
"ENS",52.27583,6.88917
"LID",52.1661,4.41794
"WOE",51.4491,4.34203
"ORK",51.8413,-8.49111
"GWY",53.3002,-8.94159
"DUB",53.4213,-6.27007
"NOC",53.9103,-8.81849
"KIR",52.1809,-9.52378
"SNN",52.702,-8.92482
"SXL",54.2802,-8.59921
"WAT",52.1872,-7.08696
"AAR",56.3,10.619
"BLL",55.7403,9.15178
"CPH",55.6179,12.656
"EBJ",55.5259,8.5534
"KRP",56.2975,9.12463
"BYR",57.2772,11.0001
"MRW",54.6993,11.4401
"ODE",55.4767,10.3309
"RKE",55.5856,12.1314
"RNN",55.0633,14.7596
"SGD",54.9644,9.79173
"SKS",55.22105,9.26702
"SQW",56.5502,9.17298
"TED",57.0688,8.70522
"FAE",62.0636,-7.27722
"STA",55.9901,8.35391
"AAL",57.09276,9.84924
"LUX",49.62333,6.20444
"AES",62.5625,6.1197
"ANX",69.2925,16.1442
"ALF",69.9761,23.3717
"BNN",65.4611,12.2175
"BOO",67.2692,14.3653
"BGO",60.2934,5.21814
"BJF",70.6005,29.6914
"KRS",58.2042,8.08537
"DLD",60.4173,8.51835
"BDU",69.0558,18.5404
"EVE",68.4913,16.6781
"VDB",61.0156,9.28806
"FRO",61.5836,5.02472
"OSL",60.1939,11.1004
"HAU",59.3453,5.20836
"HAA",70.4867,22.1397
"KSU",63.1118,7.82452
"KKN",69.7258,29.8913
"FAN",58.0995,6.62605
"MOL",62.7447,7.2625
"MJF",65.784,13.2149
"LKL",70.0688,24.9735
"NTB",59.5657,9.21222
"OLA",63.6989,9.604
"RRS",62.5784,11.3423
"RYG",59.37882,10.78544
"LYR",78.2461,15.4656
"SKE",59.185,9.56694
"SRP",59.7919,5.34085
"SSJ",65.9568,12.4689
"TOS",69.6833,18.9189
"TRF",59.1867,10.2586
"TRD",63.4578,10.924
"SVG",58.8767,5.63778
"GDN",54.3776,18.4662
"KRK",50.0777,19.7848
"KTW",50.4743,19.08
"POZ",52.421,16.8263
"RZE",50.11,22.019
"SZZ",53.5847,14.9022
"OSP",54.4789,17.1075
"WAW",52.1657,20.9671
"WRO",51.1027,16.8858
"IEG",52.1385,15.7986
"RNB",56.2667,15.265
"GOT",57.6628,12.2798
"JKG",57.7576,14.0687
"LDK",58.4655,13.1744
"GSE",57.7747,11.8704
"KVB",58.4564,13.9727
"THN",58.3181,12.345
"KSK",59.3459,14.4959
"MXX",60.9579,14.5114
"NYO",58.7886,16.9122
"KID",55.9217,14.0855
"OSK",57.3505,16.498
"KLR",56.6855,16.2876
"MMX",55.53631,13.3762
"HAD",56.6911,12.8202
"VXO",56.9291,14.728
"EVG",62.0478,14.4229
"GEV",67.1324,20.8146
"HUV",61.7681,17.0807
"KRF",63.0486,17.7689
"LYC",64.5483,18.7162
"SDL",62.5281,17.4439
"OER",63.4083,18.99
"KRN",67.822,20.3368
"SFT",64.6248,21.0769
"UME",63.7918,20.2828
"VHM",64.5791,16.8336
"AJR",65.5903,19.2819
"ORB",59.2237,15.038
"VST",59.5894,16.6336
"LLA",65.5438,22.122
"ARN",59.6519,17.9186
"BMA",59.3544,17.9417
"BLE",60.422,15.5152
"HLF",57.5258,15.8233
"GVX",60.5933,16.9514
"LPI",58.4062,15.6805
"NRK",58.5863,16.2506
"EKT",59.3511,16.7084
"VBY",57.6628,18.3462
"SPM",49.9727,6.6925
"RMS",49.4369,7.60028
"GHF",49.6481,9.96649
"ZCN",52.5912,10.0221
"FRZ",51.1146,9.286
"ZNF",50.1692,8.96159
"KZG",49.7431,10.2006
"FCN",53.7677,8.6585
"GKE",50.9608,6.04242
"RLG",53.9182,12.2783
"WBG",54.4593,9.51633
"WIE",50.0498,8.3254
"FEL",48.20555,11.26694
"IGS",48.7157,11.534
"GUT",51.9228,8.30633
"ALJ",-28.575,16.5333
"AGZ",-29.2818,18.8139
"BIY",-32.8971,27.2791
"BFN",-29.0927,26.3024
"CPT",-33.9648,18.6017
"DUR",-29.61444,31.11972
"ELS",-33.0356,27.8259
"FCB",-28.8231,27.9089
"GCJ",-25.9863,28.1401
"GRJ",-34.0056,22.3789
"HRS",-28.2351,29.1062
"HDS",-24.3686,31.0487
"JNB",-26.1392,28.246
"KXE",-26.8711,26.718
"KIM",-28.8028,24.7652
"KMH",-27.4567,23.4114
"KLZ",-29.6884,17.094
"HLA",-25.9385,27.9261
"SDB",-32.9689,18.1603
"LAY",-28.5817,29.7497
"MGH",-30.8574,30.343
"LLE",-25.43,31.5767
"MZQ",-27.6261,32.0443
"NCS",-27.7706,29.9769
"OVG",-34.5549,20.2507
"OUH",-33.607,22.189
"PLZ",-33.9849,25.6173
"PBZ",-34.08816,23.32872
"PHW",-23.9372,31.1554
"JOH",-31.6059,29.5198
"PZB",-29.649,30.3987
"NTY",-25.3338,27.1734
"PTG",-23.84527,29.45862
"PCF",-26.671,27.0819
"UTW",-31.9202,26.8822
"RCB",-28.741,32.0921
"ROD",-33.8122,19.9028
"SBU",-29.6893,17.9396
"ZEC",-26.5241,29.1701
"SIS",-27.6486,22.9993
"SZK",-24.9609,31.5887
"LTA",-23.8244,30.3293
"ULD",-28.3206,31.4165
"UTN",-28.3991,21.2602
"UTT",-31.54636,28.67336
"VRU",-26.9824,24.7288
"VIR",-29.7706,31.0584
"VRE",-31.641,18.5448
"PRY",-25.6539,28.2242
"WKF",-25.83,28.2225
"FRW",-21.1596,27.4745
"JWA",-24.6023,24.691
"BBK",-17.8329,25.1624
"MUB",-19.9726,23.4311
"GBE",-24.5552,25.9182
"PKW",-22.0583,27.8288
"BZV",-4.2517,15.253
"FTX",-0.53135,15.9501
"OUE",1.61599,16.0379
"PNR",-4.81603,11.8866
"MTS",-26.529,31.3075
"BGF",4.39848,18.5188
"BBT",4.22158,15.7864
"BSG",1.90547,9.80568
"SSG",3.75527,8.70872
"ASI",-7.9696,-14.3937
"MRU",-20.4302,57.6836
"RRG",-19.7577,63.361
"NKW",-7.31327,72.4111
"TKC",4.08919,9.36053
"DLA",4.00608,9.71948
"MVR",10.4514,14.2574
"FOM",5.63692,10.7508
"NGE",7.35701,13.5592
"GOU",9.33589,13.3701
"BFX",5.53692,10.3546
"BPC",6.03924,10.1226
"YAO",3.83604,11.5235
"CGJ",-12.5728,27.8939
"LVI",-17.8218,25.8227
"LUN",-15.3308,28.4526
"MFU",-13.2589,31.9366
"MNR",-15.2545,23.1623
"NLA",-12.9981,28.6649
"KIW",-12.9005,28.1499
"HAH",-11.5337,43.2719
"NWA",-12.2981,43.7664
"AJN",-12.1317,44.4303
"DZA",-12.8047,45.2811
"RUN",-20.8871,55.5103
"ZSE",-21.3209,55.425
"TNR",-18.7969,47.4788
"ZVA",-19.5628,45.4508
"SMS",-17.0939,49.8158
"TMM",-18.1095,49.3925
"MOQ",-20.2847,44.3176
"DIE",-12.3494,49.2917
"WMR",-16.1639,49.7738
"ZWA",-14.6517,49.6206
"AMB",-13.1884,48.988
"ANM",-14.9994,50.3202
"HVA",-14.6297,47.7638
"MJN",-15.66684,46.35123
"NOS",-13.3121,48.3148
"BPY",-16.74453,44.48248
"WMN",-15.4367,49.6883
"SVB",-14.2786,50.1747
"VOH",-13.3758,50.0028
"WAI",-14.8988,47.9939
"IVA",-13.48482,48.6327
"FTU",-25.0381,46.9561
"WFI",-21.4416,47.1117
"RVA",-22.8053,47.8206
"WVK",-22.1197,48.0217
"MNJ",-21.2018,48.3583
"MXM",-21.7539,43.3755
"TLE",-23.3834,43.7285
"SSY",-6.2699,14.247
"BUG",-12.609,13.4037
"CAB",-5.59699,12.1884
"NOV",-12.8089,15.7605
"SVP",-12.4046,16.9474
"LAD",-8.85837,13.2312
"MEG",-9.52509,16.3124
"SPP",-14.6576,17.7198
"GXG",-7.75451,15.2877
"PBN",-10.722,13.7655
"VHC",-9.68907,20.4319
"SZA",-6.14109,12.3718
"SDD",-14.9247,13.575
"LUO",-11.7681,19.8977
"UGO",-7.60307,15.0278
"XGN",-16.7554,14.9653
"OYE",1.54311,11.5814
"OKN",-0.66521,13.6731
"LBQ",-0.70439,10.2457
"BMM",2.07564,11.4932
"POG",-0.71174,8.75438
"OMB",-1.57473,9.26269
"MKU",0.57921,12.8909
"LBV",0.4586,9.41228
"MVB",-1.65616,13.438
"PCP",1.66294,7.41174
"TMS",0.37817,6.71215
"BEW",-19.7964,34.9076
"INH",-23.8764,35.4085
"VXC",-13.274,35.2663
"LFB",-15.0331,40.6717
"MPM",-25.9208,32.5726
"MUD",-11.6729,39.5631
"MZB",-11.3618,40.3549
"MNC",-14.4882,40.7122
"APL",-15.1056,39.2818
"POL",-12.99176,40.52401
"UEL",-17.8555,36.8691
"TET",-16.1048,33.6402
"VNX",-22.0184,35.3133
"DES",-5.6967,53.6558
"SEZ",-4.67434,55.5218
"PRI",-4.31929,55.6914
"AEH",13.847,20.8443
"MQQ",8.62441,16.0714
"NDJ",12.1337,15.034
"FYT",17.9171,19.1111
"BUQ",-20.0174,28.6179
"BFO",-21.0081,31.5786
"VFA",-18.0959,25.839
"HRE",-17.9318,31.0928
"KAB",-16.5198,28.885
"UTA",-18.9975,32.6272
"MVZ",-20.0553,30.8591
"GWE",-19.4364,29.8619
"HWN",-18.6299,27.021
"BLZ",-15.6791,34.974
"KGJ",-9.95357,33.893
"KBQ",-13.0146,33.4686
"LLW",-13.7894,33.781
"ZZU",-11.4447,34.0118
"MSU",-29.4623,27.5525
"FIH",-4.38575,15.4446
"NLO",-4.32666,15.3275
"MNB",-5.93086,12.3518
